,Fecha,Hora,Cuenca,Sub-Cuenca,Estacion,Paso,Precipitaciones (mm),Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi
153,2015-06-03,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0192475878,0.317144394
154,2015-06-04,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,1.78690171,0.311243534
155,2015-06-05,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0643353015,0.386452675
156,2015-06-06,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0849693492,0.349867344
157,2015-06-07,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,3.0,0.0,0.0961840153
158,2015-06-08,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.0152148306
159,2015-06-09,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.00430997461
160,2015-06-10,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0443823859,0.000314321369
161,2015-06-11,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.102762081,0.000229035504
162,2015-06-12,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0,0.000834208913
163,2015-06-13,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.381447852,0.00480283052
164,2015-06-14,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.133460626,0.00928044319
165,2015-06-15,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.00733181043,0.000204832759
166,2015-06-16,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.00847808924,1.38497853e-05
167,2015-06-17,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.00328396936,5.98683982e-06
168,2015-06-18,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.00801481307,2.17241904e-06
169,2015-06-19,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0395982675,1.35182745e-06
170,2015-06-20,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0227625687,0.00763088465
171,2015-06-21,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.0127969887,0.0110071152
172,2015-06-22,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.115230829,0.011895597
173,2015-06-23,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.00387325184,0.0180982053
174,2015-06-24,700,Central Constitución,Río Yí,Polanco del Yí,Polanco del Yi,0.0,0.166717798,0.0201366842
